// Input file with consumption data
// Data format:
// Household identifier (e.g. apartment number), Measurement date, Meterstand for electricity, Meterstand for gas, Meterstand for water
HV80,10/30/2014,11028,4726,654
HV80,3/10/2014,11573,5154,663
HV80,4/1/2015,11730,5312,672
HV80,7/21/2015,12538,5511,713
HV80,9/3/2015,12843,5550,729
HV80,9/18/2015,12941,5572,734
HV80,11/3/2015,13290,5821,752
HV80,1/25/2016,13848,6394,783
HV80,2/3/2016,13908,6448,787
HV80,3/18/2016,14228,6797,810
HV80,5/27/2016,14671,7014,859
HV80,7/20/2016,14973,7060,887
KL04,9/16/2014,53993.6,5802.259,984
KL04,11/27/2014,54307.6,6294.098,1004.585
KL04,3/15/2015,54900.9,7358.467,1047.332
KL04,6/2/2015,55153.6,7644.065,1057
KL04,11/3/2015,55664,7870,1080
KL04,11/16/2015,55700.045,7903.681,1080.591
KL04,11/25/2015,55725,7927,1081
KL04,1/25/2016,55936.9,8284.539,1087.831
KL04,2/3/2016,55949.7,8291.724,1088.003
KL04,3/18/2016,56093.7,8537.248,1092.35
KL04,8/30/2016,56578.4,8781.161,1110.33
